# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 2536
#
# Samples: 142K of event 'cycles:ppp'
# Event count (approx.): 130516835553
#
# Overhead  Command      Shared Object           Symbol                                                                                         
# ........  ...........  ......................  ...............................................................................................................................................................
#
     0.12%  lto1-wpa     lto1                    [.] symbol_table::remove_unreachable_nodes                                                                                                                     
     0.12%  lto1-ltrans  lto1                    [.] df_refs_verify                                                                                                                                             
     0.12%  lto1-ltrans  lto1                    [.] add_dependence_list                                                                                                                                        
     0.11%  lto1-ltrans  lto1                    [.] et_set_father                                                                                                                                              
     0.11%  lto1-ltrans  lto1                    [.] df_chain_create_bb_process_use                                                                                                                             
     0.11%  lto1-ltrans  lto1                    [.] record_dead_and_set_regs                                                                                                                                   
     0.11%  lto1-ltrans  lto1                    [.] mark_pseudo_live                                                                                                                                           
     0.11%  as           as                      [.] relax_segment                                                                                                                                              
     0.11%  lto1-ltrans  lto1                    [.] hash_table<int_cst_hasher, xcallocator, true>::expand                                                                                                      
     0.11%  lto1-ltrans  lto1                    [.] prepare_block_for_update                                                                                                                                   
     0.11%  lto1-ltrans  lto1                    [.] maybe_hot_bb_p                                                                                                                                             
     0.11%  lto1-ltrans  lto1                    [.] assign_hard_reg                                                                                                                                            
     0.11%  lto1-ltrans  lto1                    [.] visit_use                                                                                                                                                  
     0.11%  lto1-wpa     lto1                    [.] streamer_tree_cache_lookup                                                                                                                                 
     0.11%  lto1-ltrans  lto1                    [.] copy_reference_ops_from_ref                                                                                                                                
     0.11%  lto1-ltrans  lto1                    [.] (anonymous namespace)::pass_rtl_dse2::execute                                                                                                              
     0.11%  lto1-ltrans  lto1                    [.] lra_create_live_ranges_1                                                                                                                                   
     0.11%  lto1-ltrans  lto1                    [.] note_uses                                                                                                                                                  
     0.11%  lto1-ltrans  lto1                    [.] statistics_fini_pass                                                                                                                                       
     0.11%  lto1-ltrans  lto1                    [.] bitmap_set_range                                                                                                                                           
     0.11%  lto1-ltrans  lto1                    [.] sd_find_dep_between_no_cache                                                                                                                               
     0.11%  lto1-ltrans  lto1                    [.] bitmap_clear                                                                                                                                               
     0.11%  lto1-ltrans  lto1                    [.] hash_table<vn_reference_hasher, xcallocator, false>::find_slot_with_hash                                                                                   
     0.11%  lto1-ltrans  lto1                    [.] graphds_dfs                                                                                                                                                
     0.11%  lto1-ltrans  lto1                    [.] linemap_lookup                                                                                                                                             
     0.11%  lto1-ltrans  lto1                    [.] gsi_start_phis                                                                                                                                             
     0.11%  ld           libbfd-2.25.1.so        [.] bfd_hash_lookup                                                                                                                                            
     0.11%  as           as                      [.] symbol_get_frag                                                                                                                                            
     0.10%  lto1-ltrans  lto1                    [.] htab_find_slot_with_hash                                                                                                                                   
     0.10%  lto1-ltrans  lto1                    [.] sparseset_clear_bit                                                                                                                                        
     0.10%  lto1-ltrans  lto1                    [.] df_compact_blocks                                                                                                                                          
     0.10%  lto1-ltrans  lto1                    [.] free_INSN_LIST_list                                                                                                                                        
     0.10%  as           as                      [.] check_eh_frame                                                                                                                                             
     0.10%  lto1-ltrans  lto1                    [.] refers_to_regno_p                                                                                                                                          
     0.10%  lto1-ltrans  lto1                    [.] lto_input_tree_1                                                                                                                                           
     0.10%  lto1-ltrans  lto1                    [.] find_reg_equal_equiv_note                                                                                                                                  
     0.10%  lto1-ltrans  lto1                    [.] bitmap_ior                                                                                                                                                 
     0.10%  lto1-ltrans  lto1                    [.] iterative_hash_host_wide_int                                                                                                                               
     0.10%  lto1-ltrans  lto1                    [.] update_stmt_operands                                                                                                                                       
     0.10%  lto1-ltrans  lto1                    [.] exp_equiv_p                                                                                                                                                
     0.10%  lto1-ltrans  lto1                    [.] df_simulate_uses                                                                                                                                           
     0.10%  lto1-ltrans  lto1                    [.] location_adhoc_data_eq                                                                                                                                     
     0.10%  lto1-ltrans  lto1                    [.] contains                                                                                                                                                   
     0.10%  lto1-ltrans  lto1                    [.] df_simulate_one_insn_forwards                                                                                                                              
     0.10%  lto1-wpa     lto1                    [.] unify_scc                                                                                                                                                  
     0.10%  lto1-ltrans  lto1                    [.] get_expr_operands                                                                                                                                          
     0.10%  lto1-ltrans  lto1                    [.] inchash::add_expr                                                                                                                                          
     0.10%  lto1-wpa     lto1                    [.] lto_input_tree_1                                                                                                                                           
     0.10%  lto1-ltrans  lto1                    [.] cselib_hash_rtx                                                                                                                                            
     0.10%  lto1-ltrans  lto1                    [.] hash_table<cselib_hasher, xcallocator, false>::find_slot_with_hash                                                                                         
     0.10%  lto1-ltrans  lto1                    [.] reg_fits_class_p                                                                                                                                           
     0.10%  lto1-ltrans  lto1                    [.] canon_rtx                                                                                                                                                  
     0.10%  lto1-ltrans  lto1                    [.] iterative_hash                                                                                                                                             
     0.10%  as           as                      [.] read_a_source_file                                                                                                                                         
     0.10%  lto1-ltrans  lto1                    [.] may_trap_p_1                                                                                                                                               
     0.09%  lto1-ltrans  lto1                    [.] color_allocnos                                                                                                                                             
     0.09%  as           libc-2.23.so            [.] __strncmp_sse42                                                                                                                                            
     0.09%  lto1-ltrans  lto1                    [.] invalidate                                                                                                                                                 
     0.09%  lto1-ltrans  lto1                    [.] sd_lists_size                                                                                                                                              
     0.09%  lto1-ltrans  lto1                    [.] ix86_rtx_costs                                                                                                                                             
     0.09%  lto1-ltrans  lto1                    [.] process_bb_for_costs                                                                                                                                       
     0.09%  lto1-ltrans  lto1                    [.] find_moveable_pseudos                                                                                                                                      
     0.09%  lto1-ltrans  lto1                    [.] copy_body                                                                                                                                                  
     0.09%  lto1-ltrans  lto1                    [.] dom_opt_dom_walker::before_dom_children                                                                                                                    
     0.09%  lto1-ltrans  lto1                    [.] integer_zerop                                                                                                                                              
